Saiz Syarikat,Apakah Perniagaan,Jenis Promosi,Prompt Poster Promosi
Kecil,"Servis kewangan untuk penjual servis bengkel, tayar, aircond, wiring",Pakej kewangan bengkel,"“Buat poster promosi untuk kewangan bengkel kecil di Malaysia. Teks: ‘Pakej Kewangan Untuk Bengkel, Tayar, Aircond, Wiring – RMXXX’. Tambah 2–3 perkara: rekod pendapatan servis, rekod bahan, rekod kira kira cukai. Tambah 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
Kecil,Servis kewangan untuk penjual servis salon & barbershop,Pakej kewangan salon & barbershop,"“Buat poster promosi untuk kewangan salon & barbershop kecil di Malaysia. Teks: ‘Pakej Kewangan Salon & Barbershop – RMXXX’. Tambah 2–3 perkara: rekod servis, rekod produk, rekod kira kira. Tambah 1–2 manfaat dan CTA ‘Hubungi Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
Kecil,Servis kewangan untuk penjual servis tuisyen & kelas kemahiran,Pakej kewangan tuisyen & kelas,"“Buat poster promosi untuk kewangan tuisyen & kelas kecil di Malaysia. Teks: ‘Pakej Kewangan Tuisyen & Kelas Kemahiran – RMXXX’. Tambah 2–3 perkara: rekod pendaftaran, rekod yuran, rekod kira kira. Tambah 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
Kecil,Servis kewangan untuk penjual servis klinik kesihatan & doktor swasta kecil,Pakej kewangan klinik kecil,"“Buat poster promosi untuk kewangan klinik kecil di Malaysia. Teks: ‘Pakej Kewangan Untuk Klinik Kesihatan & Doktor Swasta Kecil – RMXXX’. Tambah 2–3 perkara: rekod yuran, rekod bahan rawatan, rekod kira kira. Tambah 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
Kecil,Servis kewangan untuk penjual servis taska & tadika kecil,Pakej kewangan taska & tadika,"“Buat poster promosi untuk kewangan taska & tadika kecil di Malaysia. Teks: ‘Pakej Kewangan Taska & Tadika – RMXXX’. Tambah 2–3 perkara: rekod yuran, rekod kakitangan, rekod kira kira. Tambah 1–2 manfaat dan CTA ‘Hubungi Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
Kecil,Servis kewangan untuk penjual servis penghantaran & kurier kecil,Pakej kewangan kurier,"“Buat poster promosi untuk kewangan kurier kecil di Malaysia. Teks: ‘Pakej Kewangan Untuk Servis Penghantaran & Kurier – RMXXX’. Tambah 2–3 perkara: rekod pendapatan, rekod kira kira, rekod kira kira. Tambah 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
Kecil,Servis kewangan untuk penjual servis katering & katering rumah,Pakej kewangan katering rumah,"“Buat poster promosi untuk kewangan katering rumah kecil di Malaysia. Teks: ‘Pakej Kewangan Untuk Katering Rumah – RMXXX’. Tambah 2–3 perkara: kira kira bahan, kira kira kira kira, kira kira untung. Tambah 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya profesional, warna oranye, sesuai untuk media sosial.”"
Kecil,"Servis kewangan untuk penjual servis servis kecantikan rumah (makeup, spa, shaving)",Pakej kewangan servis kecantikan,"“Buat poster promosi untuk kewangan servis kecantikan kecil di Malaysia. Teks: ‘Pakej Kewangan Untuk Servis Kecantikan Rumah – RMXXX’. Tambah 2–3 perkara: rekod servis, rekod produk, rekod kira kira. Tambah 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
Kecil,Servis kewangan untuk penjual servis interior design & renovation kecil,Pakej kewangan interior design,"“Buat poster promosi untuk kewangan interior design kecil di Malaysia. Teks: ‘Pakej Kewangan Untuk Interior Design & Renovation – RMXXX’. Tambah 2–3 perkara: rekod bajet projek, rekod pembayaran pembekal, rekod kira kira. Tambah 1–2 manfaat dan CTA ‘Hubungi Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
Kecil,Servis kewangan untuk penjual servis agensi pemasaran & kreatif,Pakej kewangan agensi pemasaran,"“Buat poster promosi untuk kewangan agensi pemasaran kecil di Malaysia. Teks: ‘Pakej Kewangan Untuk Agensi Pemasaran & Kreatif – RMXXX’. Tambah 2–3 perkara: rekod pendapatan klien, rekod kira kira, rekod kira kira. Tambah 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
