"Saiz Syarikat","Apakah Perniagaan","Jenis Promosi","Prompt Poster Promosi"
"Kecil","Servis kewangan untuk penjual e‑commerce & dropship","Pakej rekod kewangan e‑commerce","“Buat poster promosi untuk kewangan e‑commerce & dropship kecil di Malaysia. Teks: ‘Pakej Rekod Kewangan E‑Commerce – RMXXX’. Tambah 2–3 perkara: rekod transaksi, rekod penghantaran, rekod untung & rugi. Tambah 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
"Kecil","Servis kewangan untuk restoran & kafe kecil","Pakej kewangan restoran","“Buat poster promosi untuk kewangan restoran & kafe kecil di Malaysia. Teks: ‘Pakej Kewangan Restoran – RMXXX’. Tambah 2–3 perkara: rekod bahan mentah, rekod jualan, rekod pembayaran pekerja. Tambah 1–2 manfaat dan CTA ‘Hubungi Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
"Kecil","Servis kewangan untuk tukang jualan pasar & gerai","Pakej kewangan gerai","“Buat poster promosi untuk kewangan gerai & pasar kecil di Malaysia. Teks: ‘Pakej Kewangan Untuk Kakak Market & Gerai – RMXXX’. Tambah 2–3 perkara: kira kira bahan, kira kira jualan, kira kira nak untung. Tambah 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya ringkas, warna cerah, sesuai untuk kios.”"
"Kecil","Servis kewangan untuk freelancer & side hustle","Pakej kewangan side hustle","“Buat poster promosi untuk kewangan freelancer & side hustle kecil di Malaysia. Teks: ‘Pakej Kewangan Side Hustle – RMXXX’. Tambah 2–3 perkara: rekod pendapatan utama, side income, kira kira cukai. Tambah 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
"Kecil","Servis kewangan untuk penjual barang luar kolum (barter, kain, tudung, aksesori)","Pakej kewangan peniaga kolum","“Buat poster promosi untuk kewangan penjual kolum kecil di Malaysia. Teks: ‘Pakej Kewangan Untuk Penjual Kolum – RMXXX’. Tambah 2–3 perkara: kira kira stok, kira kira kira kira, kira kira untung. Tambah 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya ringkas, warna cerah, sesuai untuk IG & kios.”"
"Kecil","Servis kewangan untuk penjual kudis manis, kuih, dessert homemade","Pakej kewangan makanan homebased","“Buat poster promosi untuk kewangan makanan homebased kecil di Malaysia. Teks: ‘Pakej Kewangan Untuk Penjual Kuih & Dessert – RMXXX’. Tambah 2–3 perkara: kira kira bahan, kira kira paket, kira kira nak untung. Tambah 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya ringkas, warna cerah, sesuai untuk media sosial.”"
"Kecil","Servis kewangan untuk penjual pakaian online & kedai fizikal kecil","Pakej kewangan fashion","“Buat poster promosi untuk kewangan fashion kecil di Malaysia. Teks: ‘Pakej Kewangan Untuk Penjual Pakaian – RMXXX’. Tambah 2–3 perkara: rekod stok, rekod jualan, rekod untung & rugi. Tambah 1–2 manfaat dan CTA ‘Hubungi Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
"Kecil","Servis kewangan untuk penjual frozen food & ready‑to‑eat","Pakej kewangan frozen food","“Buat poster promosi untuk kewangan frozen food & ready‑to‑eat kecil di Malaysia. Teks: ‘Pakej Kewangan Untuk Penjual Frozen Food – RMXXX’. Tambah 2–3 perkara: kira kira bahan, kira kira keluaran, kira kira untung. Tambah 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
"Kecil","Servis kewangan untuk penjual produk baby & kids (pampers, susu, etc)","Pakej kewangan baby & kids","“Buat poster promosi untuk kewangan baby & kids kecil di Malaysia. Teks: ‘Pakej Kewangan Untuk Penjual Baby & Kids – RMXXX’. Tambah 2–3 perkara: rekod stok, rekod jualan, kira kira untung. Tambah 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
"Kecil","Servis kewangan untuk penjual pet food & aksesori haiwan","Pakej kewangan pet store","“Buat poster promosi untuk kewangan pet store kecil di Malaysia. Teks: ‘Pakej Kewangan Untuk Pet Store – RMXXX’. Tambah 2–3 perkara: rekod stok, rekod jualan, kira kira untung. Tambah 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya profesional, warna hijau, sesuai untuk media sosial.”"
"Kecil","Servis kewangan untuk penjual produk islamic & motivasi (buku, kain, kopi)","Pakej kewangan islamic product","“Buat poster promosi untuk kewangan Islamic & motivasi kecil di Malaysia. Teks: ‘Pakej Kewangan Untuk Penjual Produk Islamic & Motivasi – RMXXX’. Tambah 2–3 perkara: rekod stok, rekod jualan, kira kira kira kira. Tambah 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya profesional, warna hijau, sesuai untuk media sosial.”"
"Kecil","Servis kewangan untuk penjual barang sukan & fitness (sportswear, suplemen, gym)","Pakej kewangan sukan & fitness","“Buat poster promosi untuk kewangan sukan & fitness kecil di Malaysia. Teks: ‘Pakej Kewangan Untuk Penjual Barang Sukan & Fitness – RMXXX’. Tambah 2–3 perkara: rekod stok, rekod jualan, kira kira kira kira. Tambah 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
"Kecil","Servis kewangan untuk penjual barang teknologi & gadget","Pakej kewangan gadget","“Buat poster promosi untuk kewangan gadget kecil di Malaysia. Teks: ‘Pakej Kewangan Untuk Penjual Barang Teknologi & Gadget – RMXXX’. Tambah 2–3 perkara: rekod stok, rekod jualan, kira kira kira kira. Tambah 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
"Kecil","Servis kewangan untuk penjual barang sekolah & stationery","Pakej kewangan stationery","“Buat poster promosi untuk kewangan stationery kecil di Malaysia. Teks: ‘Pakej Kewangan Untuk Penjual Stationery & Barang Sekolah – RMXXX’. Tambah 2–3 perkara: rekod stok, rekod jualan, kira kira kira kira. Tambah 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
"Kecil","Servis kewangan untuk penjual barang rumah & dekorasi (home decor)","Pakej kewangan home decor","“Buat poster promosi untuk kewangan home decor kecil di Malaysia. Teks: ‘Pakej Kewangan Untuk Penjual Home Decor – RMXXX’. Tambah 2–3 perkara: rekod stok, rekod jualan, kira kira kira kira. Tambah 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
"Kecil","Servis kewangan untuk penjual barang seni & craft (crochet, kraf, painting)","Pakej kewangan craft & art","“Buat poster promosi untuk kewangan craft & art kecil di Malaysia. Teks: ‘Pakej Kewangan Untuk Penjual Craft & Art – RMXXX’. Tambah 2–3 perkara: rekod bahan, rekod jualan, kira kira kira kira. Tambah 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya profesional, warna ungu, sesuai untuk media sosial.”"
