"Saiz Syarikat","Apakah Perniagaan","Jenis Promosi","Prompt Poster Promosi"
"Mikro","Servis make up & pengantin","Pakej hari pengantin","“Buat poster promosi untuk servis make up & pengantin mikro di Malaysia. Teks: ‘Pakej Hari Pengantin – RMXXX’. Tambah 3 item: make up, pengapian, styling. Tambah 1–2 manfaat seperti ‘Tampil Percaya Diri’ dan CTA ‘WhatsApp Kami’. Gaya feminin, warna cerah, sesuai untuk media sosial.”"
"Mikro","Event & dekorasi kecil (majlis kenduri, aqiqah, pertunangan)","Pakej dekorasi majlis","“Buat poster promosi untuk perniagaan mikro event & dekorasi. Teks: ‘Pakej Dekorasi Majlis – RMXXX’. Tambah 1–2 tema, 2–3 manfaat seperti ‘Design Menarik Harga Mesra’ dan CTA ‘WhatsApp Kami’. Gaya kreatif, warna ceria, untuk IG & kios.”"
"Mikro","Servis photography & video (personal, event kecil)","Pakej photoshoot & video","“Buat poster promosi untuk servis photography & video mikro. Teks: ‘Pakej Photoshoot – RMXXX’. Tambah 2–3 perkara: 1 jam, 30 gambar edit, 1 tema. Tambah 1–2 manfaat dan CTA ‘Tempah Sekarang’. Gaya minimalis, warna netral, sesuai untuk IG.”"
"Mikro","Servis kewangan mikro & konsultan duit (bajet, hutang, simpanan)","Pakej konsultasi duit","“Buat poster promosi untuk perkhidmatan kewangan mikro & konsultan duit di Malaysia. Teks: ‘Konsultasi Duit Micro – RMXXX’. Tambah 2–3 manfaat: bantu jimat, kawal hutang, buat bajet. Tambah CTA ‘WhatsApp Kami’. Gaya profesional, warna biru/emas, sesuai untuk media sosial.”"
"Mikro","Servis setup e‑commerce & sosial (Shopee, TikTok, Instagram)","Pakej setup kedai digital","“Buat poster promosi untuk perniagaan mikro setup e‑commerce & sosial di Malaysia. Teks: ‘Pakej Setup E‑Commerce – RMXXX’. Tambah 3 perkara: buka kedaig, up load 20–30 produk, setting asas. Tambah 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya digital, warna cerah, sesuai untuk media sosial.”"
"Mikro","Servis kurier / penghantaran mikro (sekitar kawasan)","Pakej penghantaran harian","“Buat poster promosi untuk servis kurier mikro di Malaysia. Teks: ‘Pakej Penghantaran Harian – RMXX Semanis’. Tambah 2–3 perkara: pickup cepat, serahan tepat, tracking asas. Tambah CTA ‘WhatsApp Kami’. Gaya profesional, warna biru, untuk media sosial & kios.”"
"Mikro","Servis jagaan warga emas / daycare rumah","Pakej jaga harian","“Buat poster promosi untuk perniagaan mikro jagaan warga emas / daycare rumah. Teks: ‘Pakej Jaga Harian Warga Emas – RMXXX’. Tambah 2–3 manfaat seperti ‘Diri Tenang, Orang Tua Dilayan’. Tambah CTA ‘WhatsApp Kami’. Gaya selesa, warna lembut, sesuai untuk media sosial.”"
"Mikro","Servis kewangan mikro (kutipan duit, kemas bajet)","Pakej audit kewangan ringkas","“Buat poster promosi untuk konsultan kewangan mikro di Malaysia. Teks: ‘Pakej Audit Kewangan Ringkas – RMXXX’. Tambah 3 perkara: analisis perbelanjaan, senarai golongan, nasihat ringkas. Tambah 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
"Mikro","Servis kewangan untuk penjual pasar malam / kedai kopi","Pakej rekod & kewangan mikro","“Buat poster promosi untuk servis kewangan mikro untuk penjual pasar malam & kedai kopi. Teks: ‘Pakej Rekod Kewangan Micro – RMXXX’. Tambah 2–3 manfaat: kawal kira, kira kira barangan, tahu untung & rugi. Tambah CTA ‘WhatsApp Kami’. Gaya ringkas, sesuai untuk kios.”"
"Mikro","Servis cleaning / pembersihan rumah","Pakej pembersihan harian / mingguan","“Buat poster promosi untuk servis cleaning mikro di Malaysia. Teks: ‘Pakej Pembersihan Rumah – RMXXX’. Tambah 2–3 zon yang dibersihkan, 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya bersih, warna biru/putih, sesuai untuk media sosial.”"
