"Saiz Syarikat","Apakah Perniagaan","Jenis Promosi","Prompt Poster Promosi"
"Sederhana","Servis kewangan untuk klinik & klinik kecantikan besar","Pakej kewangan klinik besar","“Buat poster promosi untuk kewangan klinik & klinik kecantikan sederhana di Malaysia. Teks: ‘Pakej Kewangan Untuk Klinik & Klinik Kecantikan – RMXXX’. Tambah 2–3 perkara: rekod kewangan, laporan bulanan, analisis kewangan. Tambah 1–2 manfaat dan CTA ‘Hubungi Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
"Sederhana","Servis kewangan untuk salon & barbershop besar","Pakej kewangan salon besar","“Buat poster promosi untuk kewangan salon & barbershop sederhana di Malaysia. Teks: ‘Pakej Kewangan Salon & Barbershop Besar – RMXXX’. Tambah 2–3 perkara: rekod kewangan, laporan bulanan, analisis kewangan. Tambah 1–2 manfaat dan CTA ‘Hubungi Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
"Sederhana","Servis kewangan untuk restoran & kafe sederhana","Pakej kewangan restoran besar","“Buat poster promosi untuk kewangan restoran & kafe sederhana di Malaysia. Teks: ‘Pakej Kewangan Untuk Restoran & Kafe – RMXXX’. Tambah 2–3 perkara: rekod kewangan, laporan bulanan, analisis kewangan. Tambah 1–2 manfaat dan CTA ‘Hubungi Kami’. Gaya profesional, warna oranye, sesuai untuk media sosial.”"
"Sederhana","Servis kewangan untuk taska & tadika sederhana","Pakej kewangan taska & tadika sederhana","“Buat poster promosi untuk kewangan taska & tadika sederhana di Malaysia. Teks: ‘Pakej Kewangan Untuk Taska & Tadika – RMXXX’. Tambah 2–3 perkara: rekod kewangan, laporan bulanan, analisis kewangan. Tambah 1–2 manfaat dan CTA ‘Hubungi Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
"Sederhana","Servis kewangan untuk klinik kesihatan & fisioterapi","Pakej kewangan klinik kesihatan","“Buat poster promosi untuk kewangan klinik kesihatan & fisioterapi sederhana. Teks: ‘Pakej Kewangan Untuk Klinik Kesihatan & Fisioterapi – RMXXX’. Tambah 2–3 perkara: rekod kewangan, laporan bulanan, analisis kewangan. Tambah 1–2 manfaat dan CTA ‘Hubungi Kami’. Gaya profesional, warna hijau, sesuai untuk media sosial.”"
"Sederhana","Servis kewangan untuk klinik pembedahan kecil & klinik rawatan intensif","Pakej kewangan klinik rawatan intensif","“Buat poster promosi untuk kewangan klinik rawatan intensif sederhana. Teks: ‘Pakej Kewangan Untuk Klinik Rawatan Intensif – RMXXX’. Tambah 2–3 perkara: rekod kewangan, laporan bulanan, analisis kewangan. Tambah 1–2 manfaat dan CTA ‘Hubungi Kami’. Gaya profesional, warna merah, sesuai untuk media sosial.”"
"Sederhana","Servis kewangan untuk homestay & guesthouse kecil","Pakej kewangan homestay","“Buat poster promosi untuk kewangan homestay & guesthouse sederhana. Teks: ‘Pakej Kewangan Untuk Homestay & Guesthouse – RMXXX’. Tambah 2–3 perkara: rekod kewangan, laporan bulanan, analisis kewangan. Tambah 1–2 manfaat dan CTA ‘Hubungi Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
"Sederhana","Servis kewangan untuk apartment & servis apartment sederhana","Pakej kewangan servis apartment","“Buat poster promosi untuk kewangan servis apartment sederhana. Teks: ‘Pakej Kewangan Untuk Apartment Servis – RMXXX’. Tambah 2–3 perkara: rekod kewangan, laporan bulanan, analisis kewangan. Tambah 1–2 manfaat dan CTA ‘Hubungi Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
"Sederhana","Servis kewangan untuk perniagaan e‑commerce & dropshipping besar","Pakej kewangan e‑commerce besar","“Buat poster promosi untuk kewangan e‑commerce & dropshipping sederhana. Teks: ‘Pakej Kewangan Untuk E‑Commerce & Dropshipping – RMXXX’. Tambah 2–3 perkara: rekod kewangan, laporan bulanan, analisis kewangan. Tambah 1–2 manfaat dan CTA ‘Hubungi Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
"Sederhana","Servis kewangan untuk perniagaan servis katering & katering rumah besar","Pakej kewangan katering besar","“Buat poster promosi untuk kewangan katering & katering rumah sederhana. Teks: ‘Pakej Kewangan Untuk Katering & Katering Rumah – RMXXX’. Tambah 2–3 perkara: rekod kewangan, laporan bulanan, analisis kewangan. Tambah 1–2 manfaat dan CTA ‘Hubungi Kami’. Gaya profesional, warna oranye, sesuai untuk media sosial.”"
"Sederhana","Servis kewangan untuk perniagaan servis pest control & termite besar","Pakej kewangan pest control besar","“Buat poster promosi untuk kewangan pest control & termite sederhana. Teks: ‘Pakej Kewangan Untuk Pest Control & Termite – RMXXX’. Tambah 2–3 perkara: rekod kewangan, laporan bulanan, analisis kewangan. Tambah 1–2 manfaat dan CTA ‘Hubungi Kami’. Gaya profesional, warna hijau, sesuai untuk media sosial.”"
"Sederhana","Servis kewangan untuk perniagaan servis cleaning & janitorial besar","Pakej kewangan cleaning & janitorial besar","“Buat poster promosi untuk kewangan cleaning & janitorial sederhana. Teks: ‘Pakej Kewangan Untuk Cleaning & Janitorial – RMXXX’. Tambah 2–3 perkara: rekod kewangan, laporan bulanan, analisis kewangan. Tambah 1–2 manfaat dan CTA ‘Hubungi Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
"Sederhana","Servis kewangan untuk perniagaan servis kandang & pet grooming besar","Pakej kewangan pet grooming besar","“Buat poster promosi untuk kewangan pet grooming & kandang sederhana. Teks: ‘Pakej Kewangan Untuk Kandang & Pet Grooming – RMXXX’. Tambah 2–3 perkara: rekod kewangan, laporan bulanan, analisis kewangan. Tambah 1–2 manfaat dan CTA ‘Hubungi Kami’. Gaya profesional, warna hijau, sesuai untuk media sosial.”"
"Sederhana","Servis kewangan untuk perniagaan event & dekorasi besar","Pakej kewangan event & dekorasi besar","“Buat poster promosi untuk kewangan event & dekorasi sederhana. Teks: ‘Pakej Kewangan Untuk Event & Dekorasi – RMXXX’. Tambah 2–3 perkara: rekod kewangan, laporan bulanan, analisis kewangan. Tambah 1–2 manfaat dan CTA ‘Hubungi Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
"Sederhana","Servis kewangan untuk perniagaan photography & videography besar","Pakej kewangan fotografi besar","“Buat poster promosi untuk kewangan photography & videography sederhana. Teks: ‘Pakej Kewangan Untuk Photography & Videography – RMXXX’. Tambah 2–3 perkara: rekod kewangan, laporan bulanan, analisis kewangan. Tambah 1–2 manfaat dan CTA ‘Hubungi Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
"Sederhana","Servis kewangan untuk perniagaan agensi pemasaran besar","Pakej kewangan agensi pemasaran besar","“Buat poster promosi untuk kewangan agensi pemasaran sederhana. Teks: ‘Pakej Kewangan Untuk Agensi Pemasaran – RMXXX’. Tambah 2–3 perkara: rekod kewangan, laporan bulanan, analisis kewangan. Tambah 1–2 manfaat dan CTA ‘Hubungi Kami’. Gaya profesional, warna ungu, sesuai untuk media sosial.”"
"Sederhana","Servis kewangan untuk perniagaan interior design & renovation sederhana","Pakej kewangan interior design besar","“Buat poster promosi untuk kewangan interior design & renovation sederhana. Teks: ‘Pakej Kewangan Untuk Interior Design & Renovation – RMXXX’. Tambah 2–3 perkara: rekod kewangan, laporan bulanan, analisis kewangan. Tambah 1–2 manfaat dan CTA ‘Hubungi Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
"Sederhana","Servis kewangan untuk perniagaan bengkel, tayar, aircond, wiring besar","Pakej kewangan bengkel besar","“Buat poster promosi untuk kewangan bengkel sederhana. Teks: ‘Pakej Kewangan Untuk Bengkel, Tayar, Aircond, Wiring – RMXXX’. Tambah 2–3 perkara: rekod kewangan, laporan bulanan, analisis kewangan. Tambah 1–2 manfaat dan CTA ‘Hubungi Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
"Sederhana","Servis kewangan untuk perniagaan tuisyen & kelas kemahiran besar","Pakej kewangan tuisyen besar","“Buat poster promosi untuk kewangan tuisyen & kelas kemahiran sederhana. Teks: ‘Pakej Kewangan Untuk Tuisyen & Kelas Kemahiran – RMXXX’. Tambah 2–3 perkara: rekod kewangan, laporan bulanan, analisis kewangan. Tambah 1–2 manfaat dan CTA ‘Hubungi Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
"Sederhana","Servis kewangan untuk perniagaan klinik kesihatan & doktor swasta sederhana","Pakej kewangan klinik besar","“Buat poster promosi untuk kewangan klinik kesihatan & doktor swasta sederhana. Teks: ‘Pakej Kewangan Untuk Klinik Kesihatan Dan Doktor Swasta – RMXXX’. Tambah 2–3 perkara: rekod kewangan, laporan bulanan, analisis kewangan. Tambah 1–2 manfaat dan CTA ‘Hubungi Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
"Sederhana","Servis kewangan untuk perniagaan taska & tadika sederhana","Pakej kewangan taska & tadika besar","“Buat poster promosi untuk kewangan taska & tadika sederhana. Teks: ‘Pakej Kewangan Untuk Taska & Tadika – RMXXX’. Tambah 2–3 perkara: rekod kewangan, laporan bulanan, analisis kewangan. Tambah 1–2 manfaat dan CTA ‘Hubungi Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
"Sederhana","Servis kewangan untuk perniagaan klinik kecantikan besar","Pakej kewangan klinik kecantikan besar","“Buat poster promosi untuk kewangan klinik kecantikan sederhana. Teks: ‘Pakej Kewangan Untuk Klinik Kecantikan – RMXXX’. Tambah 2–3 perkara: rekod kewangan, laporan bulanan, analisis kewangan. Tambah 1–2 manfaat dan CTA ‘Hubungi Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
"Sederhana","Servis kewangan untuk perniagaan servis kecantikan rumah besar","Pakej kewangan servis kecantikan besar","“Buat poster promosi untuk kewangan servis kecantikan rumah sederhana. Teks: ‘Pakej Kewangan Untuk Servis Kecantikan Rumah – RMXXX’. Tambah 2–3 perkara: rekod kewangan, laporan bulanan, analisis kewangan. Tambah 1–2 manfaat dan CTA ‘Hubungi Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
"Sederhana","Servis kewangan untuk perniagaan katering & katering rumah besar","Pakej kewangan katering & katering rumah besar","“Buat poster promosi untuk kewangan katering & katering rumah sederhana. Teks: ‘Pakej Kewangan Untuk Katering & Katering Rumah – RMXXX’. Tambah 2–3 perkara: rekod kewangan, laporan bulanan, analisis kewangan. Tambah 1–2 manfaat dan CTA ‘Hubungi Kami’. Gaya profesional, warna oranye, sesuai untuk media sosial.”"
